MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn;time;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
GSB;20200215;147;-;17;757.7;0.0;422;-0.9;-3.2;0.7;27.2
GSB;20200216;119;-;67;758.4;0.0;189;2.6;-0.7;5.2;31.1
GSB;20200217;93;-;92;755.6;2.2;39;1.1;-6.4;5.9;61.3
GSB;20200218;163;-;33;755.7;0.0;419;-8.3;-11.2;-6.2;86.6
GSB;20200219;63;-;100;753.1;1.2;0;-8.8;-11.5;-7.0;83.0
GSB;20200220;162;-;25;754.5;0.0;445;-3.1;-8.1;0.8;49.9
GSB;20200221;153;-;46;757.2;0.0;350;-4.2;-7.2;-0.2;67.1
GSB;20200222;166;-;25;762.5;0.0;463;1.5;-1.9;4.6;41.0
GSB;20200223;105;-;54;762.2;0.0;120;2.2;-1.7;4.0;59.5
GSB;20200224;182;-;17;756.9;0.0;512;2.2;-1.4;5.2;36.1
GSB;20200225;128;-;50;744.8;6.3;131;-2.8;-7.3;1.3;52.7
GSB;20200226;54;-;100;736.8;5.3;0;-11.1;-13.1;-7.0;95.2
GSB;20200227;74;-;83;739.9;14.8;0;-9.5;-14.8;-3.4;80.9
GSB;20200228;178;-;29;748.3;0.8;396;-6.9;-13.7;-1.8;55.5
GSB;20200229;125;-;96;744.3;20.1;126;-7.4;-8.9;-3.1;89.6
GSB;20200301;163;-;88;739.1;7.8;260;-5.9;-8.1;-3.4;83.0
GSB;20200302;73;-;100;731.9;25.5;0;-7.2;-8.6;-5.8;90.8
GSB;20200303;190;-;67;736.4;0.0;392;-10.9;-12.4;-7.4;91.6
GSB;20200304;199;-;88;743.6;5.9;326;-8.8;-11.8;-4.4;68.1
GSB;20200305;87;-;100;738.6;48.7;0;-7.1;-8.4;-5.3;89.4
GSB;20200306;182;-;92;736.6;0.2;213;-8.9;-10.5;-5.7;90.2
GSB;20200307;158;-;100;746.8;0.0;215;-10.3;-11.2;-9.3;92.6
GSB;20200308;139;-;54;750.4;1.3;266;-4.9;-10.8;-0.6;47.2
GSB;20200309;173;-;96;747.1;0.5;0;-7.9;-10.8;-4.9;88.4
GSB;20200310;117;-;100;751.9;5.8;0;-3.5;-10.4;0.1;88.8
GSB;20200311;239;-;33;756.4;0.0;555;2.3;-0.5;6.8;59.5
GSB;20200312;206;-;71;754.9;19.5;367;2.4;-1.2;5.8;66.2
GSB;20200313;219;-;42;751.5;0.0;299;-2.9;-5.1;-0.2;76.2
GSB;20200314;281;-;67;750.4;0.0;299;-5.1;-7.4;-2.4;72.3
GSB;20200315;148;-;67;751.9;0.0;103;-7.1;-9.4;-6.1;88.8
GSB;20200316;236;-;75;755.4;0.0;374;-5.2;-7.9;-1.7;85.7
GSB;20200317;247;-;13;761.4;0.0;612;-0.5;-3.2;3.1;56.1
GSB;20200318;254;-;0;760.7;0.0;615;0.5;-1.6;2.8;64.1
GSB;20200319;241;-;33;758.1;0.0;557;-0.4;-2.7;2.0;78.7
GSB;20200320;190;-;67;754.6;0.0;292;-1.7;-3.3;0.5;79.3
GSB;20200321;251;-;13;749.9;0.0;575;-1.5;-3.9;1.3;73.9
GSB;20200322;97;-;88;750.5;0.3;0;-3.0;-4.8;-1.9;91.5
GSB;20200323;281;-;4;752.5;0.0;630;-4.0;-6.3;-1.9;79.3
GSB;20200324;191;-;38;749.9;0.0;251;-8.5;-11.2;-5.6;65.2
GSB;20200325;211;-;63;745.1;1.1;257;-10.9;-13.2;-9.0;72.3
GSB;20200326;147;-;92;743.0;1.8;200;-10.1;-16.2;-6.0;85.6
GSB;20200327;134;-;100;747.7;1.0;0;-3.7;-5.9;-1.9;93.0
GSB;20200328;248;-;79;749.8;0.0;415;-2.4;-4.3;-0.2;86.5
GSB;20200329;149;-;96;747.6;2.4;1;-3.3;-6.0;-1.5;94.1
GSB;20200330;185;-;92;746.4;0.0;48;-5.1;-6.5;-2.5;91.3
GSB;20200331;287;-;83;748.6;0.0;369;-5.8;-8.6;-3.8;85.4
GSB;20200401;305;-;0;748.1;0.0;668;-5.2;-11.5;-2.1;55.6
GSB;20200402;304;-;13;745.6;0.0;631;-5.1;-7.4;-2.1;71.6
GSB;20200403;297;-;33;747.7;0.0;592;-5.2;-7.3;-2.3;75.9
GSB;20200404;310;-;4;753.4;0.0;681;-2.5;-5.9;0.7;66.1
GSB;20200405;306;-;13;756.1;0.0;641;-1.8;-5.0;1.3;72.6
GSB;20200406;313;-;0;758.8;0.0;686;-1.5;-4.8;1.7;59.3
GSB;20200407;318;-;0;761.3;0.0;688;-0.1;-3.9;3.3;57.8
GSB;20200408;318;-;0;759.9;0.0;690;0.1;-3.3;3.2;45.5
GSB;20200409;318;-;0;758.1;0.0;692;0.7;-2.1;4.6;57.0
GSB;20200410;321;-;0;758.6;0.0;695;1.8;-0.4;4.7;51.9
GSB;20200411;324;-;0;758.3;0.0;697;1.9;-1.0;5.1;51.2
GSB;20200412;276;-;58;755.1;0.0;415;1.4;-0.8;3.8;53.2
GSB;20200413;263;-;63;750.7;0.0;489;0.7;-2.2;4.0;58.6
GSB;20200414;310;-;33;750.6;0.0;581;-0.8;-2.4;1.9;68.3
GSB;20200415;330;-;0;756.0;0.0;707;1.2;-4.2;4.6;56.3
GSB;20200416;301;-;88;756.1;0.0;670;2.3;-1.2;5.3;42.6
GSB;20200417;296;-;88;754.7;0.0;612;3.5;0.1;6.8;55.6
GSB;20200418;280;-;67;754.7;0.0;587;3.8;1.0;7.2;63.9
GSB;20200419;144;-;92;751.4;1.3;61;2.6;1.0;4.9;79.9
GSB;20200420;53;-;96;748.5;3.4;0;0.7;-0.4;1.5;97.2
GSB;20200421;78;-;100;748.7;3.8;0;-0.1;-1.6;0.9;93.6
GSB;20200422;255;-;63;752.2;0.0;364;-0.7;-4.1;2.5;73.7
GSB;20200423;348;-;8;754.5;0.0;727;2.1;-1.3;5.6;54.3
GSB;20200424;335;-;46;752.8;0.0;666;2.3;-0.2;4.6;62.0
GSB;20200425;291;-;83;749.1;0.0;362;2.6;0.5;6.0;76.6
GSB;20200426;150;-;96;748.2;5.4;47;1.7;0.6;3.9;90.4
GSB;20200427;301;-;46;748.9;17.0;503;2.4;-0.7;5.5;73.7
GSB;20200428;151;-;100;746.2;18.1;0;-0.4;-2.3;1.1;97.5
GSB;20200429;325;-;92;747.0;0.3;278;-1.9;-4.2;0.0;84.1
GSB;20200430;134;-;96;746.4;20.9;0;-1.5;-4.6;-0.3;83.5
GSB;20200501;126;-;100;745.4;-;0;-2.2;-5.0;-0.4;89.4
DAV;20200101;78;52;-;850.4;0.0;376;-3.0;-5.8;2.3;66.8
DAV;20200102;76;52;-;848.4;0.0;375;-2.7;-5.9;4.5;61.9
DAV;20200103;40;50;-;846.8;1.0;0;-1.5;-5.1;4.3;64.5
DAV;20200104;33;52;-;848.4;0.5;0;-0.7;-3.0;1.5;84.3
DAV;20200105;79;51;-;850.6;0.0;376;-5.5;-8.9;-2.4;73.9
DAV;20200106;79;51;-;847.8;0.0;380;-3.4;-8.2;4.5;60.6
DAV;20200107;54;50;-;847.8;0.0;170;-3.5;-7.6;0.2;66.5
DAV;20200108;69;49;-;849.4;0.0;176;-2.8;-9.1;4.9;52.3
DAV;20200109;73;48;-;844.0;0.0;335;0.5;-3.3;7.6;71.9
DAV;20200110;78;48;-;843.3;0.0;355;-1.5;-5.6;3.3;60.2
DAV;20200111;83;48;-;849.1;0.0;357;-2.9;-7.6;0.8;65.2
DAV;20200112;87;48;-;846.9;0.0;387;-3.0;-8.1;4.8;45.9
DAV;20200113;69;48;-;842.1;0.0;216;-2.9;-7.1;5.1;50.2
DAV;20200114;84;48;-;840.7;0.0;348;-1.7;-6.5;4.6;48.6
DAV;20200115;87;48;-;843.4;0.0;392;-0.2;-4.6;7.4;57.8
DAV;20200116;90;47;-;847.5;0.0;385;-2.1;-5.9;4.3;61.8
DAV;20200117;85;47;-;842.5;4.2;333;-2.5;-6.7;2.3;57.2
DAV;20200118;52;53;-;843.9;1.1;90;-4.7;-9.0;-2.2;83.1
DAV;20200119;59;54;-;848.1;0.0;75;-8.4;-13.6;-4.9;76.1
DAV;20200120;97;53;-;855.2;0.0;402;-11.1;-15.8;-5.3;64.3
DAV;20200121;90;53;-;855.2;0.0;363;-4.8;-12.2;2.6;60.8
DAV;20200122;97;52;-;851.2;0.0;404;-1.2;-4.8;5.0;53.6
DAV;20200123;99;51;-;847.5;0.0;407;-1.2;-6.0;7.6;47.9
DAV;20200124;88;51;-;844.0;0.0;390;-1.3;-5.7;5.1;54.4
DAV;20200125;68;50;-;841.2;0.0;133;-1.2;-4.5;4.6;65.0
DAV;20200126;72;50;-;839.5;0.0;76;-1.3;-5.3;3.4;70.2
DAV;20200127;89;49;-;836.1;0.5;294;-1.1;-5.9;4.1;60.7
DAV;20200128;38;50;-;828.2;15.8;18;-2.2;-5.1;3.6;81.8
DAV;20200129;26;70;-;833.3;11.6;0;-4.0;-5.0;-2.8;91.1
DAV;20200130;104;80;-;838.8;1.5;405;-3.0;-8.8;1.6;83.8
DAV;20200131;85;77;-;839.9;0.0;166;0.9;-2.7;5.1;93.2
DAV;20200201;99;70;-;838.1;0.4;320;0.5;-4.5;6.9;84.3
DAV;20200202;43;67;-;840.9;14.0;0;1.0;-3.0;4.3;90.0
DAV;20200203;42;61;-;841.1;11.3;1;2.9;1.3;4.9;92.9
DAV;20200204;25;59;-;833.6;18.9;14;-3.2;-6.5;5.8;83.9
DAV;20200205;62;77;-;845.4;1.5;30;-7.0;-13.4;-4.6;77.1
DAV;20200206;124;75;-;847.6;0.0;431;-8.4;-14.7;-0.8;76.9
DAV;20200207;127;71;-;845.0;0.0;452;-4.5;-9.6;2.1;80.5
DAV;20200208;115;71;-;844.7;0.0;428;-3.4;-7.8;3.5;73.4
DAV;20200209;127;71;-;843.3;0.0;441;-1.5;-7.7;5.3;59.6
DAV;20200210;54;70;-;833.8;3.6;48;2.4;-1.3;7.8;64.0
DAV;20200211;97;71;-;834.4;4.5;108;-1.5;-4.6;2.5;83.3
DAV;20200212;121;76;-;839.7;0.2;179;-4.6;-8.6;-1.4;79.3
DAV;20200213;124;74;-;836.1;9.6;360;-3.0;-10.8;4.2;60.0
DAV;20200214;74;82;-;842.0;0.6;21;-2.1;-7.7;0.9;76.7
DAV;20200215;149;80;-;845.4;0.0;472;-1.4;-7.9;7.1;64.4
DAV;20200216;104;79;-;844.0;0.0;145;3.6;-3.1;11.5;49.2
DAV;20200217;125;74;-;841.9;1.7;279;3.1;-0.4;9.3;67.2
DAV;20200218;153;70;-;845.8;0.0;460;-2.2;-7.6;1.9;66.4
DAV;20200219;53;70;-;842.4;3.7;24;-4.9;-8.0;-1.4;73.3
DAV;20200220;118;74;-;842.8;0.0;252;-2.5;-7.9;4.6;66.5
DAV;20200221;144;71;-;846.7;0.0;313;-1.5;-5.3;1.9;65.4
DAV;20200222;157;69;-;850.0;0.0;495;1.0;-5.1;10.1;52.6
DAV;20200223;82;69;-;847.8;0.9;24;4.1;-2.1;8.3;70.1
DAV;20200224;142;66;-;842.8;0.6;341;4.7;-0.8;10.5;64.9
DAV;20200225;85;65;-;830.0;2.9;5;0.7;-2.6;5.4;67.2
DAV;20200226;82;67;-;825.2;6.0;93;-5.0;-7.8;-1.0;77.2
DAV;20200227;92;76;-;827.5;13.6;160;-5.5;-11.1;-2.1;76.9
DAV;20200228;169;92;-;837.1;0.9;396;-5.4;-8.1;-2.6;66.6
DAV;20200229;112;86;-;831.4;0.8;25;0.3;-3.8;4.0;65.6
DAV;20200301;173;84;-;825.4;2.7;369;0.8;-3.7;7.2;72.7
DAV;20200302;98;83;-;818.9;14.2;0;-1.5;-8.1;4.3;79.4
DAV;20200303;90;93;-;825.4;0.1;20;-3.9;-7.7;-1.3;76.2
DAV;20200304;149;89;-;833.0;0.3;235;-4.9;-8.5;-0.9;69.9
DAV;20200305;78;88;-;825.6;2.1;4;-1.4;-4.9;2.5;78.2
DAV;20200306;100;90;-;823.8;1.7;39;-1.9;-3.7;-0.1;84.3
DAV;20200307;106;95;-;836.9;0.6;15;-3.9;-8.0;-2.1;81.2
DAV;20200308;189;91;-;839.4;0.0;494;-3.7;-11.8;4.1;62.4
DAV;20200309;101;89;-;836.3;2.4;8;-2.2;-6.2;0.3;78.3
DAV;20200310;45;90;-;839.7;24.5;0;-2.7;-7.8;0.7;88.5
DAV;20200311;162;109;-;842.8;0.1;319;2.7;-1.4;8.1;89.6
DAV;20200312;215;96;-;839.9;0.4;575;3.8;-3.0;12.0;66.4
DAV;20200313;127;88;-;839.9;0.1;186;0.3;-4.4;3.3;84.7
DAV;20200314;102;86;-;839.8;0.2;2;-1.9;-5.2;1.1;78.9
DAV;20200315;224;85;-;840.6;0.0;581;0.0;-6.2;8.1;55.1
DAV;20200316;227;84;-;843.7;0.0;585;2.1;-5.0;11.3;49.5
DAV;20200317;221;82;-;850.1;0.0;586;2.9;-2.9;10.2;56.0
DAV;20200318;226;79;-;848.9;0.0;589;3.6;-2.3;11.0;63.0
DAV;20200319;232;77;-;846.0;0.0;591;4.3;-1.5;12.5;57.4
DAV;20200320;214;76;-;842.6;5.7;501;3.8;-1.7;11.9;58.0
DAV;20200321;180;73;-;838.1;0.5;297;3.1;0.3;8.0;79.7
DAV;20200322;232;74;-;839.8;0.0;490;0.8;-2.6;4.5;85.9
DAV;20200323;248;68;-;842.5;0.0;601;-2.3;-6.5;3.2;56.1
DAV;20200324;252;68;-;841.1;0.0;603;-4.1;-9.4;1.5;48.7
DAV;20200325;228;67;-;835.5;0.0;476;-4.4;-9.6;2.0;63.2
DAV;20200326;224;66;-;833.2;0.0;501;-2.5;-9.0;4.2;54.3
DAV;20200327;211;66;-;835.3;0.0;501;2.4;-4.5;9.3;60.2
DAV;20200328;210;63;-;837.6;0.0;424;3.4;-3.3;9.3;66.7
DAV;20200329;135;60;-;836.3;2.5;59;1.2;-3.5;6.5;75.5
DAV;20200330;139;60;-;837.5;2.5;31;-4.0;-6.5;-1.4;89.0
DAV;20200331;273;60;-;839.8;0.0;539;-5.1;-10.0;0.1;59.0
DAV;20200401;275;60;-;836.9;0.0;617;-2.1;-10.5;6.1;42.7
DAV;20200402;269;60;-;833.7;0.0;618;0.6;-6.7;7.9;47.9
DAV;20200403;237;59;-;836.6;0.0;420;1.6;-1.8;6.8;56.9
DAV;20200404;276;57;-;842.1;0.0;623;2.0;-4.5;9.5;48.2
DAV;20200405;284;52;-;843.8;0.0;625;4.4;-3.2;12.9;38.3
DAV;20200406;283;50;-;846.9;0.0;627;4.8;-1.8;12.9;43.5
DAV;20200407;282;46;-;849.8;0.0;629;5.6;-1.8;14.4;46.9
DAV;20200408;281;41;-;847.8;0.0;630;6.0;-0.6;13.8;48.8
DAV;20200409;276;36;-;846.2;0.0;584;6.1;-0.5;13.7;57.5
DAV;20200410;284;30;-;846.1;0.0;632;6.9;-0.3;14.9;51.7
DAV;20200411;286;24;-;845.6;0.0;632;6.9;-0.2;14.3;54.5
DAV;20200412;273;18;-;842.4;0.0;534;7.2;1.1;13.6;47.5
DAV;20200413;273;10;-;838.0;2.5;602;7.0;0.6;13.2;47.1
DAV;20200414;296;5;-;839.7;0.0;559;1.5;-3.2;6.3;65.0
DAV;20200415;302;0;-;843.5;0.0;634;5.4;-3.9;15.1;38.4
DAV;20200416;261;0;-;842.8;0.0;616;7.7;0.3;15.5;42.0
DAV;20200417;284;0;-;841.0;0.0;587;8.9;1.0;17.6;47.6
DAV;20200418;282;0;-;840.8;4.2;618;9.8;2.5;18.1;60.4
DAV;20200419;217;0;-;837.9;0.2;358;9.2;3.0;15.4;67.4
DAV;20200420;139;0;-;835.1;0.0;7;9.3;5.1;13.5;66.5
DAV;20200421;182;0;-;835.0;0.0;170;8.8;3.0;15.2;62.4
DAV;20200422;314;0;-;838.8;0.0;639;7.6;0.9;14.8;45.9
DAV;20200423;307;0;-;841.1;0.0;623;8.1;1.1;16.0;53.2
DAV;20200424;292;0;-;839.1;0.0;516;7.7;1.6;13.9;56.9
DAV;20200425;146;0;-;835.3;2.0;125;7.5;4.2;12.3;67.7
DAV;20200426;202;0;-;834.4;3.7;273;8.2;4.5;13.6;71.5
DAV;20200427;179;0;-;835.3;0.0;170;7.6;3.1;13.6;72.3
DAV;20200428;167;0;-;832.6;13.3;62;7.4;2.7;12.5;70.4
DAV;20200429;159;0;-;834.1;1.6;34;3.2;0.6;6.8;85.1
DAV;20200430;103;0;-;832.9;14.9;79;3.7;-0.3;9.4;81.5
DAV;20200501;195;-;-;831.3;-;221;4.0;0.0;8.3;83.0
ELM;20200101;14;1;0;918.8;0.0;42;-0.1;-2.8;1.6;66.1
ELM;20200102;15;1;0;916.8;0.0;42;-0.6;-2.8;1.4;66.6
ELM;20200103;35;1;38;915.9;1.2;27;1.7;-1.6;5.6;71.5
ELM;20200104;20;0;100;919.2;0.7;0;1.6;0.2;3.2;95.6
ELM;20200105;15;0;33;921.2;0.0;44;-1.3;-3.3;0.4;79.3
ELM;20200106;15;0;0;916.8;0.0;45;0.1;-2.9;3.9;66.0
ELM;20200107;27;0;38;917.6;0.0;46;0.5;-2.1;3.6;71.7
ELM;20200108;27;0;50;918.2;0.0;45;1.3;-2.4;5.9;53.4
ELM;20200109;25;0;42;911.9;0.0;36;2.6;-0.9;6.1;59.3
ELM;20200110;27;0;46;912.8;0.0;48;1.5;-1.6;3.7;69.2
ELM;20200111;17;0;29;918.9;0.0;49;-0.3;-4.1;2.3;69.9
ELM;20200112;17;0;21;916.0;0.0;50;-0.9;-5.5;3.3;57.2
ELM;20200113;40;0;38;911.0;0.0;15;0.1;-3.0;4.8;53.8
ELM;20200114;16;0;38;908.3;0.0;1;1.0;-2.3;4.8;54.3
ELM;20200115;18;0;8;911.6;0.0;55;1.1;-1.1;4.0;63.6
ELM;20200116;22;0;17;915.9;0.0;62;1.1;-1.8;4.6;67.2
ELM;20200117;20;0;38;911.5;8.9;0;1.1;-3.0;5.3;68.3
ELM;20200118;41;15;96;914.8;1.4;41;-1.4;-7.9;0.4;94.1
ELM;20200119;36;15;88;920.1;0.0;0;-4.2;-10.0;-1.2;81.9
ELM;20200120;27;12;4;925.9;0.0;99;-8.2;-13.1;-4.4;70.3
ELM;20200121;31;10;8;923.9;0.0;89;-3.6;-10.1;0.6;72.6
ELM;20200122;36;8;17;919.7;0.0;151;-0.8;-5.8;2.9;67.9
ELM;20200123;41;8;21;914.9;0.0;172;-2.6;-6.2;8.7;68.9
ELM;20200124;48;7;17;912.6;0.0;162;0.7;-3.7;3.8;61.9
ELM;20200125;47;7;17;910.1;0.0;151;0.3;-3.4;3.2;71.2
ELM;20200126;50;6;67;908.4;0.0;147;1.5;-2.9;3.8;74.3
ELM;20200127;53;6;58;903.8;0.0;121;2.5;-3.0;8.4;66.1
ELM;20200128;15;2;88;896.8;18.7;0;1.5;-1.3;7.9;81.3
ELM;20200129;14;18;100;903.0;14.0;0;-0.4;-1.5;0.9;96.1
ELM;20200130;79;43;58;906.9;8.6;274;-0.3;-5.8;3.2;86.7
ELM;20200131;55;22;63;907.7;0.1;77;3.8;0.6;8.5;89.1
ELM;20200201;58;12;67;905.7;2.6;117;3.8;0.4;6.5;81.2
ELM;20200202;22;8;96;908.7;36.3;0;4.4;2.0;6.4;90.9
ELM;20200203;8;4;100;909.3;26.5;0;5.6;3.6;8.9;90.1
ELM;20200204;12;0;100;904.3;14.1;0;1.5;-2.1;11.0;75.6
ELM;20200205;40;17;71;917.9;0.8;0;-2.1;-9.8;0.8;70.3
ELM;20200206;95;17;8;917.7;0.0;321;-4.5;-10.9;1.8;66.9
ELM;20200207;98;14;0;913.9;0.0;323;-1.8;-6.2;3.6;66.4
ELM;20200208;81;10;42;913.4;0.0;254;0.6;-4.2;6.4;58.7
ELM;20200209;99;10;38;910.5;0.0;315;3.5;-3.5;11.2;47.3
ELM;20200210;27;5;100;900.7;11.2;2;6.9;2.5;12.9;58.5
ELM;20200211;20;0;100;903.9;10.3;0;2.1;-0.9;9.8;81.5
ELM;20200212;44;14;100;910.0;0.6;0;-1.2;-4.7;0.6;88.4
ELM;20200213;81;10;63;903.8;21.8;124;1.0;-6.6;8.4;66.2
ELM;20200214;63;12;63;911.7;0.8;44;1.1;-2.0;4.0;87.6
ELM;20200215;110;10;13;913.3;0.0;353;1.9;-3.2;6.9;61.5
ELM;20200216;75;7;63;910.1;0.0;14;5.6;1.4;10.4;57.1
ELM;20200217;102;5;75;910.6;2.6;297;5.3;1.6;10.6;72.9
ELM;20200218;128;3;21;916.3;0.0;360;0.9;-2.4;4.5;79.1
ELM;20200219;24;3;100;912.8;6.4;0;-0.3;-2.6;1.8;80.1
ELM;20200220;118;12;63;911.7;0.8;261;0.8;-4.3;5.7;74.3
ELM;20200221;103;5;58;917.0;0.2;219;1.1;-2.3;4.3;78.6
ELM;20200222;132;5;13;918.4;0.0;383;4.0;-1.9;9.8;55.0
ELM;20200223;53;3;100;915.7;3.0;4;7.3;3.3;14.8;71.4
ELM;20200224;123;0;38;910.5;0.0;343;7.6;2.3;12.8;65.9
ELM;20200225;74;0;71;897.9;7.9;39;4.4;0.0;8.1;71.2
ELM;20200226;36;8;100;895.3;5.4;0;-1.7;-3.7;1.8;86.7
ELM;20200227;56;15;100;895.9;5.0;28;-0.5;-6.9;4.3;69.5
ELM;20200228;155;10;67;906.8;0.0;384;-0.2;-2.7;2.6;57.5
ELM;20200229;106;7;100;897.6;0.0;149;5.4;0.0;9.4;49.0
ELM;20200301;155;3;71;893.1;1.8;408;4.0;0.2;9.4;75.2
ELM;20200302;81;0;100;885.2;10.9;4;4.0;-1.4;9.6;62.5
ELM;20200303;136;8;88;895.0;1.8;187;-0.1;-2.2;3.6;79.8
ELM;20200304;167;6;71;902.3;0.3;337;0.1;-2.5;3.3;74.1
ELM;20200305;62;0;100;891.7;1.0;0;4.1;-0.2;8.4;59.5
ELM;20200306;61;0;100;892.7;6.3;0;1.1;-0.9;3.1;92.6
ELM;20200307;98;12;100;907.6;0.6;11;-0.5;-3.8;1.5;89.0
ELM;20200308;152;4;42;908.4;1.6;324;0.2;-6.5;6.2;64.6
ELM;20200309;78;0;100;906.2;2.8;0;1.1;-0.2;3.3;89.8
ELM;20200310;23;0;100;908.7;32.2;0;1.4;-1.3;4.4;89.2
ELM;20200311;124;0;67;911.0;0.2;134;6.4;3.0;12.8;85.8
ELM;20200312;180;0;38;907.6;5.1;410;7.7;2.4;15.2;68.9
ELM;20200313;74;0;71;909.8;0.8;6;2.7;-1.2;5.9;90.8
ELM;20200314;72;0;71;909.5;0.1;8;2.2;-0.8;5.7;80.0
ELM;20200315;189;0;4;908.0;0.0;454;4.1;-1.8;12.9;59.0
ELM;20200316;195;0;4;911.2;0.0;459;5.9;-0.4;14.6;55.7
ELM;20200317;190;0;13;918.8;0.0;460;7.4;1.0;15.3;57.2
ELM;20200318;191;0;0;916.8;0.0;467;8.0;1.7;16.3;61.0
ELM;20200319;200;0;0;913.4;0.0;475;8.6;2.6;16.6;58.7
ELM;20200320;182;0;38;910.0;1.8;377;8.9;2.1;16.5;57.8
ELM;20200321;193;0;79;906.3;0.2;473;6.7;2.7;12.7;82.0
ELM;20200322;45;0;100;909.3;1.5;1;2.3;0.8;3.4;96.6
ELM;20200323;215;0;67;913.1;0.0;471;1.0;-3.6;5.1;71.9
ELM;20200324;215;0;0;911.5;0.0;485;-0.7;-5.9;6.2;64.4
ELM;20200325;189;0;58;905.8;0.0;369;-0.9;-5.5;3.9;69.8
ELM;20200326;196;0;54;902.1;0.0;345;0.6;-4.2;7.6;60.4
ELM;20200327;197;0;17;903.5;0.0;466;3.2;-3.0;10.3;69.0
ELM;20200328;145;0;50;905.9;0.0;226;6.4;-0.2;12.1;67.5
ELM;20200329;158;0;71;905.7;4.7;273;3.7;-1.0;10.1;78.8
ELM;20200330;105;3;100;908.4;1.7;0;-1.2;-2.9;0.2;92.7
ELM;20200331;237;0;8;910.1;0.0;485;-0.9;-6.4;5.6;66.2
ELM;20200401;241;0;0;906.2;0.0;510;1.0;-5.5;8.9;55.7
ELM;20200402;236;0;4;902.1;0.0;503;4.7;-2.4;11.9;55.9
ELM;20200403;227;0;58;905.5;0.0;453;5.3;-0.2;11.3;60.7
ELM;20200404;241;0;0;910.5;0.0;516;5.2;-2.5;13.3;59.1
ELM;20200405;250;0;0;910.8;0.0;520;8.2;-0.5;16.5;45.0
ELM;20200406;251;0;0;913.9;0.0;525;10.0;1.1;17.7;38.5
ELM;20200407;248;0;0;917.1;0.0;525;10.2;2.0;18.8;43.6
ELM;20200408;248;0;0;915.2;0.0;526;10.4;3.4;19.0;44.2
ELM;20200409;203;0;54;913.6;0.0;239;10.9;3.4;18.4;53.9
ELM;20200410;251;0;0;913.1;0.0;531;11.2;3.7;19.6;51.2
ELM;20200411;253;0;4;912.7;0.0;532;11.5;4.4;19.5;52.6
ELM;20200412;240;0;38;908.7;0.0;488;12.4;5.7;19.4;42.3
ELM;20200413;238;0;21;905.2;6.3;456;11.3;4.1;18.1;50.0
ELM;20200414;251;0;42;908.9;0.0;457;5.1;-1.6;10.9;68.8
ELM;20200415;265;0;17;911.2;0.0;538;7.2;-3.3;16.7;56.8
ELM;20200416;217;0;38;909.6;0.0;419;10.8;2.3;18.4;48.5
ELM;20200417;254;0;54;907.6;0.0;501;12.9;4.9;20.5;53.0
ELM;20200418;225;0;46;907.9;14.0;442;12.9;6.9;21.1;65.0
ELM;20200419;204;0;92;904.3;0.0;299;12.7;6.2;17.9;72.2
ELM;20200420;187;0;92;900.6;0.0;138;12.1;8.3;16.2;79.8
ELM;20200421;143;0;96;900.8;0.0;69;10.1;6.9;13.2;81.3
ELM;20200422;281;0;4;904.6;0.0;549;12.9;5.6;20.1;51.9
ELM;20200423;269;0;8;908.1;0.0;521;11.1;4.2;18.9;60.7
ELM;20200424;213;0;42;905.8;0.9;308;12.1;4.4;19.0;56.4
ELM;20200425;122;0;96;901.9;1.1;71;11.8;7.8;16.7;69.9
ELM;20200426;181;0;88;901.2;18.7;200;11.2;7.4;17.9;75.5
ELM;20200427;298;0;42;901.8;0.0;524;11.9;6.8;18.7;69.5
ELM;20200428;140;0;100;899.8;13.4;42;9.9;6.2;13.8;83.6
ELM;20200429;135;0;79;902.0;0.9;40;7.2;3.7;11.1;85.9
ELM;20200430;90;0;96;900.4;9.5;38;7.0;4.2;10.8;86.2
ELM;20200501;135;0;100;898.9;-;84;7.2;1.8;10.8;85.6
ENG;20200101;41;0;-;909.4;0.0;145;1.7;-2.5;4.1;59.0
ENG;20200102;40;0;-;907.8;0.0;146;0.4;-2.5;3.9;62.6
ENG;20200103;36;0;-;907.0;0.1;71;1.8;-1.1;5.4;68.3
ENG;20200104;37;0;-;910.6;0.2;27;2.1;-0.8;5.0;93.4
ENG;20200105;42;0;-;911.7;0.0;152;-1.6;-4.0;0.5;85.0
ENG;20200106;42;0;-;907.7;0.0;152;1.0;-3.2;5.5;62.0
ENG;20200107;54;0;-;908.5;0.0;154;1.1;-2.1;4.0;71.2
ENG;20200108;44;0;-;909.2;0.0;132;2.2;-1.7;6.8;44.4
ENG;20200109;42;0;-;903.0;0.0;144;3.4;0.4;7.2;53.9
ENG;20200110;51;0;-;904.0;0.3;133;2.3;-0.3;5.4;69.4
ENG;20200111;49;0;-;909.8;0.0;176;-0.7;-4.4;2.6;78.6
ENG;20200112;53;0;-;907.0;0.0;186;-0.2;-4.1;4.7;54.0
ENG;20200113;56;0;-;902.0;0.0;157;0.6;-2.3;5.3;52.5
ENG;20200114;48;0;-;899.3;0.0;147;1.2;-3.3;6.2;51.9
